IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,,,,,,,,,,,,,1.06,,,0.13,,1.85,1.1 [0.1-1.9],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,true,,,,,,,,,,,,,10.71,,,7.54,,13.49,10.7 [7.5-13.5],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,true,,,,,,,,,,,,,12.43,,,9.26,,15.48,12.4 [9.3-15.5],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,true,,,,,,,,,,,,,12.57,,,9.26,,15.74,12.6 [9.3-15.7],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2019,true,,,,,,,,,,,,,13.82,,,10.25,,17.2,13.8 [10.3-17.2],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,true,,,,,,,,,,,,,14.42,,,10.85,,17.86,14.4 [10.8-17.9],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,EUR,Europe,Country,POL,Poland,Year,2019,true,,,,,,,,,,,,,15.19,,,11.46,,18.68,15.2 [11.5-18.7],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,,,,,,,,,,,,,15.26,,,10.18,,19.37,15.3 [10.2-19.4],,imputation,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,true,,,,,,,,,,,,,15.34,,,11.77,,18.78,15.3 [11.8-18.8],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AMR,Americas,Country,PAN,Panama,Year,2019,true,,,,,,,,,,,,,15.53,,,11.9,,19.06,15.5 [11.9-19.1],,direct,EN,2024-05-24T04:00:00.000Z
SUD_SERVICECAPACITYINDEX,Service Capacity Index for Substance Use Disorders (SCI-SUD),numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,true,,,,,,,,,,,,,16,,,12.34,,19.53,16.0 [12.3-19.5],,direct,EN,2024-05-24T04:00:00.000Z
