IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AMR,Americas,Country,DMA,Dominica,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EUR,Europe,Country,HUN,Hungary,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EUR,Europe,Country,ISL,Iceland,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,NAM,Namibia,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EUR,Europe,Country,ROU,Romania,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2014,true,,,,,,,,,,,,,0.02,,,,,,0.020,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EUR,Europe,Country,ITA,Italy,Year,2014,true,,,,,,,,,,,,,0.36,,,,,,0.360,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2014,true,,,,,,,,,,,,,1.13,,,,,,1.126,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2014,true,,,,,,,,,,,,,1.14,,,,,,1.136,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2014,true,,,,,,,,,,,,,1.75,,,,,,1.745,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,GMB,Gambia,Year,2014,true,,,,,,,,,,,,,10.48,,,,,,10.477,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2014,true,,,,,,,,,,,,,1017,,,,,,1017.263,,,EN,2015-07-07T04:00:00.000Z
MH_19,"Mental hospital admissions (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2014,true,,,,,,,,,,,,,102.1,,,,,,102.116,,,EN,2015-07-07T04:00:00.000Z
