IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2017,true,,,,,,,,,,,,,0.007,,,,,,0.007,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,0.01,,,,,,0.010,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,,,,,,,,,,,,,0.014,,,,,,0.014,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.062,,,,,,0.062,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,MKD,North Macedonia,Year,2017,true,,,,,,,,,,,,,0.096,,,,,,0.096,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,SRB,Serbia,Year,2017,true,,,,,,,,,,,,,0.14,,,,,,0.136,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2017,true,,,,,,,,,,,,,0.27,,,,,,0.272,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2017,true,,,,,,,,,,,,,0.33,,,,,,0.330,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,true,,,,,,,,,,,,,0.34,,,,,,0.340,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,,,,,,,,,,,,,0.66,,,,,,0.662,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2017,true,,,,,,,,,,,,,0.69,,,,,,0.691,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,1.24,,,,,,1.239,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,1.33,,,,,,1.328,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,,,,,,,,,,,,,1.43,,,,,,1.429,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,,,,,,,,,,,,,1.43,,,,,,1.434,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,1.71,,,,,,1.706,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2017,true,,,,,,,,,,,,,3.65,,,,,,3.654,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,true,,,,,,,,,,,,,5.09,,,,,,5.089,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2017,true,,,,,,,,,,,,,61.39,,,,,,61.387,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,FIN,Finland,Year,2017,true,,,,,,,,,,,,,7.52,,,,,,7.516,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2016,true,,,,,,,,,,,,,0.007,,,,,,0.007,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,,,,,,,,,,,,,0.008,,,,,,0.008,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,true,,,,,,,,,,,,,0.009,,,,,,0.009,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,true,,,,,,,,,,,,,0.009,,,,,,0.009,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2016,true,,,,,,,,,,,,,0.017,,,,,,0.017,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,COG,Congo,Year,2016,true,,,,,,,,,,,,,0.02,,,,,,0.020,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2016,true,,,,,,,,,,,,,0.031,,,,,,0.031,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,true,,,,,,,,,,,,,0.04,,,,,,0.040,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,TGO,Togo,Year,2016,true,,,,,,,,,,,,,0.04,,,,,,0.040,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,DZA,Algeria,Year,2016,true,,,,,,,,,,,,,0.048,,,,,,0.048,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,,,,,,,,,,,,,0.049,,,,,,0.049,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,true,,,,,,,,,,,,,0.052,,,,,,0.052,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,,,,,,,,,,,,,0.055,,,,,,0.055,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2016,true,,,,,,,,,,,,,0.056,,,,,,0.056,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,,,,,,,,,,,,,0.057,,,,,,0.057,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,,,,,,,,,,,,,0.063,,,,,,0.063,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2016,true,,,,,,,,,,,,,0.067,,,,,,0.067,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,,,,,,,,,,,,,0.068,,,,,,0.068,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,,,,,,,,,,,,,0.073,,,,,,0.073,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,NAM,Namibia,Year,2016,true,,,,,,,,,,,,,0.082,,,,,,0.082,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,,,,,,,,,,,,,0.084,,,,,,0.084,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ZAF,South Africa,Year,2016,true,,,,,,,,,,,,,0.11,,,,,,0.110,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,,,,,,,,,,,,,0.11,,,,,,0.112,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,,,,,,,,,,,,,0.12,,,,,,0.116,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,MEX,Mexico,Year,2016,true,,,,,,,,,,,,,0.13,,,,,,0.126,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,HTI,Haiti,Year,2016,true,,,,,,,,,,,,,0.13,,,,,,0.131,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,true,,,,,,,,,,,,,0.16,,,,,,0.156,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2016,true,,,,,,,,,,,,,0.16,,,,,,0.164,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2016,true,,,,,,,,,,,,,0.17,,,,,,0.166,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,0.18,,,,,,0.176,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,TUR,Türkiye,Year,2016,true,,,,,,,,,,,,,0.19,,,,,,0.190,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2016,true,,,,,,,,,,,,,0.2,,,,,,0.205,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2016,true,,,,,,,,,,,,,0.21,,,,,,0.211,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2016,true,,,,,,,,,,,,,0.22,,,,,,0.217,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ERI,Eritrea,Year,2016,true,,,,,,,,,,,,,0.23,,,,,,0.227,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,,,,,,,,,,,,,0.24,,,,,,0.242,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,GUY,Guyana,Year,2016,true,,,,,,,,,,,,,0.26,,,,,,0.260,,,EN,2019-04-25T04:00:00.000Z
