Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),GDP per Capita (USD),Percentage GDP Health Expenditure,Unemployment (%),Urban Population,Population,Age Dependency Ratio (%),Life Expectancy
Afghanistan,AFG,2010,0.16513,0.705313,0.097327,4.862777,2.571349,4.130874,0.662062,28926.933672106108,12.421717602751915,4.259710141369901,9311246.360507136,14240949.422901869,69.04525680998276,68.65458224315307
Afghanistan,AFG,2011,0.165272,0.705688,0.098638,4.864773,2.57317,4.130862,0.662254,6415.236170302353,8.505581065627581,14.389285355002576,4046275.072840498,5420114.970278449,49.787295503750435,68.69688209403786
Afghanistan,AFG,2012,0.165424,0.706086,0.099891,4.867283,2.576189,4.132485,0.662372,3185.0572809141363,15.582765380592857,7.66742855120831,9555609.194952102,19030950.02547504,31.139559070763347,71.27397520787369
Afghanistan,AFG,2013,0.165579,0.706471,0.101291,4.869701,2.572396,4.134661,0.662433,16037.800600279137,13.420499264271482,13.188399031834265,3339575.376117872,4368058.67768534,65.89683764025274,71.85879353750357
Afghanistan,AFG,2014,0.165742,0.706876,0.103137,4.872256,2.562885,4.133526,0.662447,24381.990875448973,4.068058426033082,10.106568331644665,5310280.818772187,10357058.380980203,33.465027124419855,81.7571253182747
Afghanistan,AFG,2015,0.165895,0.707275,0.104445,4.875201,2.543144,4.135419,0.662276,46470.72136336226,3.7240106052199575,5.187119777640142,9277796.463699916,12998266.83617915,32.52906032977959,63.217323827712235
Afghanistan,AFG,2016,0.166035,0.707686,0.105808,4.878875,2.513553,4.135694,0.66185,27587.78893516224,4.5333928480448495,5.665087252661191,2428397.2205389035,3057472.1968754507,40.51970156238245,82.56106761994893
Afghanistan,AFG,2017,0.166158,0.708089,0.107142,4.882481,2.473934,4.136347,0.661217,8558.135661748818,19.90378379980702,14.59357131150634,2870002.3658775426,4735794.864287825,64.46227205856466,74.57503011757875
Albania,ALB,2010,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566,49962.11495335236,8.814388047878172,10.015290057144279,7313199.330610337,9478688.212075863,36.631038365059275,80.80805745092516
Albania,ALB,2011,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256,7064.561185715165,12.494563699743924,6.736577539321983,3060133.5317317187,3917863.966660614,60.41900209599107,69.43869216406189
Albania,ALB,2012,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375,40092.065333050705,8.029044126585266,7.266991597273345,7679964.191304712,9544229.500392523,33.15821047288494,82.62485198548615
