IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Value,FactValueTranslationID,Language,DateModified,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)"
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,0.263603,0.963614,0.645775,5.307073,0.907981,3.726825,1.253886,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,2.779472,4.697816,77000.0,,,,,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,0.263603,0.963614,0.645775,5.307073,0.907981,3.726825,1.253886,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,2.779472,4.697816,77000.0,,,,,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,0.263603,0.963614,0.645775,5.307073,0.907981,3.726825,1.253886,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,EUR,Europe,Country,AND,Andorra,Year,2016,False,Beverage Types,Wine,ALCOHOLTYPE_SA_WINE,No,823.0,EN,2018-09-03T04:00:00.000Z,Andorra,AND,2016.0,2.779472,4.697816,77000.0,,,,,7.94437,3415.914479
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,AGO,Angola,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Angola,AGO,2016.0,0.17257,0.623859,0.172163,3.294534,0.516244,4.157841,1.381018,11.988164,4092.642124
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,AGO,Angola,Year,2016,False,Beverage Types,Beer,ALCOHOLTYPE_SA_BEER,No,823.0,EN,2018-09-03T04:00:00.000Z,Angola,AGO,2016.0,3.604495,4.643946,28842000.0,,,,,11.988164,4092.642124
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,AGO,Angola,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Angola,AGO,2016.0,0.17257,0.623859,0.172163,3.294534,0.516244,4.157841,1.381018,11.988164,4092.642124
SA_0000001802,Monopoly on wholesale /distribution of alcoholic beverages,text,AFR,Africa,Country,AGO,Angola,Year,2016,False,Beverage Types,Spirits,ALCOHOLTYPE_SA_SPIRITS,No,823.0,EN,2018-09-03T04:00:00.000Z,Angola,AGO,2016.0,3.604495,4.643946,28842000.0,,,,,11.988164,4092.642124
