Country,Year,Alcohol use disorders (%),Dim1,Dim1ValueCode
Argentina,2016.0,1.822573,Beer,ALCOHOLTYPE_SA_BEER
Argentina,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Argentina,2016.0,1.822573,Spirits,ALCOHOLTYPE_SA_SPIRITS
Argentina,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Argentina,2016.0,1.822573,Wine,ALCOHOLTYPE_SA_WINE
Argentina,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Armenia,2016.0,1.974356,Beer,ALCOHOLTYPE_SA_BEER
Armenia,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Armenia,2016.0,1.974356,Wine,ALCOHOLTYPE_SA_WINE
Armenia,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Austria,2016.0,1.855808,Beer,ALCOHOLTYPE_SA_BEER
Austria,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Austria,2016.0,1.855808,Spirits,ALCOHOLTYPE_SA_SPIRITS
Austria,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Austria,2016.0,1.855808,Wine,ALCOHOLTYPE_SA_WINE
Austria,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Benin,2016.0,0.989202,Beer,ALCOHOLTYPE_SA_BEER
Benin,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Benin,2016.0,0.989202,Spirits,ALCOHOLTYPE_SA_SPIRITS
Benin,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Benin,2016.0,0.989202,Wine,ALCOHOLTYPE_SA_WINE
Benin,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Bosnia and Herzegovina,2016.0,2.835715,Beer,ALCOHOLTYPE_SA_BEER
Bosnia and Herzegovina,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Bosnia and Herzegovina,2016.0,2.835715,Spirits,ALCOHOLTYPE_SA_SPIRITS
Bosnia and Herzegovina,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Bosnia and Herzegovina,2016.0,2.835715,Wine,ALCOHOLTYPE_SA_WINE
Bosnia and Herzegovina,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Chad,2016.0,0.943932,Beer,ALCOHOLTYPE_SA_BEER
Chad,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Chad,2016.0,0.943932,Spirits,ALCOHOLTYPE_SA_SPIRITS
Chad,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Chad,2016.0,0.943932,Wine,ALCOHOLTYPE_SA_WINE
Chad,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Cook Islands,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Cook Islands,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Cook Islands,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Croatia,2016.0,2.08746,Beer,ALCOHOLTYPE_SA_BEER
Croatia,2016.0,,Beer,ALCOHOLTYPE_SA_BEER
Croatia,2016.0,2.08746,Spirits,ALCOHOLTYPE_SA_SPIRITS
Croatia,2016.0,,Spirits,ALCOHOLTYPE_SA_SPIRITS
Croatia,2016.0,2.08746,Wine,ALCOHOLTYPE_SA_WINE
Croatia,2016.0,,Wine,ALCOHOLTYPE_SA_WINE
Denmark,2016.0,1.747206,Beer,ALCOHOLTYPE_SA_BEER
