IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,0.32,,,,,,0.3,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,BEL,Belgium,Year,2018,true,RSUD Substance Types,Alcohol,SUBSTANCETYPE_ALCOHOL,,,,,,,,,,1.17,,,,,,1.2,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,10,,,,,,10.0,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,CZE,Czechia,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,14.78,,,,,,14.8,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,AMR,Americas,Country,GRD,Grenada,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,19.1,,,,,,19.1,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,19.82,,,,,,19.8,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,2.23,,,,,,2.2,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,HRV,Croatia,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,23.5,,,,,,23.5,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,3.43,,,,,,3.4,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,ISL,Iceland,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,35.04,,,,,,35.0,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,SWE,Sweden,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,35.43,,,,,,35.4,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,BEL,Belgium,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,7.83,,,,,,7.8,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2018,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,8.04,,,,,,8.0,,,EN,2024-05-20T04:00:00.000Z
SUD_TREATMENTSERVICES_COVERAGE,Contact coverage of treatment services for substance use disorders (%),numeric,EUR,Europe,Country,LVA,Latvia,Year,2017,true,RSUD Substance Types,Drugs,SUBSTANCETYPE_DRUGS,,,,,,,,,,2.1,,,,,,2.1,,,EN,2024-05-20T04:00:00.000Z
